"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"SNpalp 1326150",1326149,80426,59564,54839,1,2,2,563,6,7
"SNpalp 1342820",1342819,114341,85725,73984,5,2,2,667,9,10
"SNpalp 1374125",1374124,127070,96828,92708,0,5,5,923,26,28
"SNPDF-dcl1_DLSO1.1_4l",1075718,286380,197707,184553,5,11,11,1420,60,62
"SNPDF-dcl3",1077291,165298,113930,101557,0,1,1,850,29,31
"SNPDF-dcr1_DLSO1.1_4r",1077309,342235,225994,211551,9,8,8,1682,70,77
"SNPDF_pygl",1386177,681571,340351,314058,44,57,57,5315,85,90
"SNPDF_pygr",1275135,679148,359429,336046,47,64,64,4863,76,80
"SNpyg 1323311",1323310,60096,40752,38625,0,1,1,755,4,5
"SNpyg 1335846_putPU",1335845,117232,85524,81207,9,12,12,1323,24,25
"SNpyg 1349435",1349434,58850,34897,30969,2,1,1,670,3,5
"SNpyg 1351072",1351071,84857,49636,47391,4,2,2,1026,10,11
"SNpyg 1354533",1354532,75840,53601,50571,1,6,6,870,7,8
"SNpyg 1354804",1730175,87338,55793,51563,1,5,5,1027,5,6
"SNpyg_l 1335833",1335832,103965,73138,68681,4,10,10,1225,11,12
"SNpygM_l",668812,195753,150134,143863,15,34,34,2570,46,48
"SNpygM_r",1342725,237584,152967,143526,9,44,44,2548,43,44
"SNr 1209683",1209682,256894,184678,173946,6,2,2,1332,53,55
"SNr 1209703",1209702,113627,83328,79473,1,3,3,611,12,13
"SNr 1325844",1325843,167377,119128,111237,3,18,18,809,13,14
"SNr 1325884",1325883,133766,106847,102157,4,1,1,1018,36,39
"SNr 1355912",1355911,136412,95581,91228,2,11,11,804,22,24
"SNr 497209",497208,222282,159859,146439,14,2,2,1260,40,45
"SNr with bubble 2",276547,142483,94469,88940,1,4,4,846,26,30
"SNstiff_sg0l1",1847252,261885,167468,156058,8,6,6,1340,39,44
"SNstiff_sg0l2",1345862,211659,130072,111469,1,5,5,1060,17,19
"SNstiff_sg0r1",390240,279532,158316,146742,10,7,7,1404,37,45
"SNstiff_sg0r2",1204176,365954,256909,170168,5,19,19,1295,44,50
"SNtrpa 1342976",1342975,151419,117410,111236,4,4,4,1143,34,37
"SNtrunk_sg1l 1607303",1607302,112042,68956,64741,1,1,1,880,17,18
"SNtrunk_sgl1 1582321",1498439,213157,101222,95679,4,5,5,1502,19,22
"spinPB1_sg2l",2008588,142588,106747,102772,0,13,13,1254,17,18
"spinPB1_sg3l",1349051,128429,80858,76439,1,7,7,1027,8,9
"spinPB1_sg3r",1349023,138627,94077,89212,5,0,0,1194,16,18
"spinPB2_sg2l",2008663,471659,254983,237867,13,20,20,3383,52,53
