"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"pygCirrusPBc1l",1349386,133319,90241,87137,24,35,35,1531,31,33
"pygCirrusPBc1r",1279518,149993,84212,78510,5,5,5,1361,16,17
"pygCirrusPBcl4",1278598,112439,78898,74880,5,28,28,1398,15,16
"pygCirrusPU2r post-r 1166447",1166446,142244,71548,63938,2,4,4,1119,17,18
"pygCirrusPU3r",1344565,92768,50824,44508,0,4,3,845,8,9
"pygCirrusPU4r",1278185,141151,79651,70086,4,6,6,1361,7,8
"pygCirrusPU5r",1344599,193792,122495,113482,7,3,3,1838,37,38
"pygCirrusPU7r",1347263,105250,57010,51389,2,0,0,940,11,12
"pygCirrusPU_SMr",1594313,189681,104344,98930,0,13,13,1508,40,41
"pygCirrusPUc1r_Hair_cell pygidium 1279544",1279543,127448,76220,70404,4,16,16,1375,9,11
"pygCirrusPUc3r_SC pygidium 1279509",1279508,264780,161720,150902,6,57,57,2941,31,32
"pygPBunp",370978,2225578,1234906,1121093,92,235,234,13800,209,215
"sensory25;SN",449841,183396,131486,119345,1,4,4,921,46,49
"sensory67;SN",1278565,139181,98513,70896,0,7,7,802,17,18
"SN 1070398",1276462,384204,216569,196132,13,10,10,2230,81,85
"SN 1122239",1122238,161524,105173,92843,6,6,6,814,16,18
"SN 1155296",1155295,269170,178760,168997,4,12,12,1481,60,63
"SN 1161035",1160991,180365,124662,119464,0,1,1,922,35,37
"SN 1271929",1271928,155144,110945,103247,4,4,4,886,35,36
"SN 1283039",1283038,213507,147108,140413,4,0,0,1573,39,42
"SN 1293405",1293404,141935,106663,97857,3,3,3,691,18,19
"SN 1302514",1302513,124768,88975,84894,1,9,9,884,35,37
"SN 1302664",1302663,176999,136653,122503,1,9,9,1129,30,32
"SN 1310017",1310016,101880,61561,55391,1,6,6,748,14,16
"SN 1318312",1318311,114552,85936,83162,1,3,3,821,20,23
"SN 1318326",1318325,115635,92215,88030,1,4,4,797,27,29
"SN 1322277",1322276,114800,97232,94893,0,1,1,923,33,38
"SN 1322640",1322639,120805,73158,65310,0,2,2,859,19,20
"SN 1322646",1322645,78820,52140,48089,0,6,6,742,8,9
"SN 1323209",1323208,174726,128829,123042,1,5,5,969,31,34
"SN 1323339",1323338,97634,66171,61154,3,1,1,840,19,20
"SN 1323403",1323402,90085,68748,65923,0,3,3,781,21,23
"SN 1326922",1326921,190172,112925,99126,1,5,5,808,12,15
"SN 1327187",1327186,142792,105600,100557,0,3,3,1018,26,29
"SN 1330169",1330168,142586,103631,92701,0,1,1,1377,21,27
"SN 1335598",1335597,139223,104008,99005,1,6,6,1089,35,37
"SN 1342971",1342970,173991,139761,133894,3,7,7,1564,49,56
"SN 1361898",1361897,124903,93334,86752,0,1,1,1017,28,31
"SN 1372331",1372330,130969,94291,84063,0,4,4,629,17,18
"SN 1397112",1397111,187414,133397,120238,2,6,6,1046,33,35
"SN 1402730",1402729,111928,66292,58822,3,0,0,420,7,8
"SN 1406350",1406349,139941,104029,97082,1,5,5,858,24,26
"SN 1415538",1415537,138726,95209,88439,0,14,14,1260,18,20
"SN 1419788",1419787,148198,108496,104537,1,4,4,749,28,32
"SN 1442493",1442492,93984,71131,67196,1,3,3,450,10,11
"SN 1466609",1466608,129174,94850,91413,1,1,1,674,20,23
"SN 1470407",1470406,112673,82085,62006,0,6,6,453,3,4
"SN 1473905",1473904,236341,181710,171743,2,12,12,1549,43,44
"SN 1591472",1591471,135026,100254,96663,1,3,3,1210,32,37
"SN 1639676",1639675,150473,103365,96929,0,4,4,702,25,27
"SN 1660629",1473311,81086,61496,59699,1,2,2,442,16,18
"SN 1777191",1777190,276101,197233,182960,7,5,5,1271,41,48
"SN 669559",669558,199774,125351,119535,1,8,8,871,30,31
"SN 758790",758789,163882,123292,119267,7,10,10,901,51,55
"SN 839187",839186,175013,120644,109756,3,4,4,1004,40,43
"SN antenna_right11",159489,124354,92343,67145,0,1,1,895,20,22
"SN HC 1325683",1325682,90612,74284,72961,0,9,9,643,6,7
"SN HC 1325701",1325700,187685,151102,147239,3,7,7,1472,65,70
"SN immature",1320798,139241,102890,98980,4,4,4,995,28,29
"SN lateral head l 1316452",1316451,175839,128891,120273,2,25,25,847,26,28
"SN lateral head r 1316108",1316107,144010,107044,100602,7,29,29,968,23,25
"SN lateral head r 1316425",1316424,96526,59729,41851,0,2,2,553,3,4
"SN r 1311598",1311597,164074,109733,96076,6,4,4,707,18,21
"SN r 1326587",1326689,129052,104288,97555,0,2,2,768,33,36
"SN ventral head 1311559",1311558,68222,56411,51763,1,8,8,649,13,15
"SN ventral head r 1285843",1285842,86648,68576,64533,1,6,6,680,12,13
"SN28l",463126,126692,79660,72041,5,2,2,991,21,24
"SN28r",1116504,155074,116205,112889,6,7,7,1162,39,45
"SN47Ach",295849,704887,551254,534227,8,79,79,4882,201,215
"SN_14l",1418872,144504,107877,102995,0,1,1,1036,34,37
"SN_68r",1858709,241799,150070,139099,2,8,8,1347,44,46
"SN_ASTC1l",436248,831442,557760,528835,8,4,4,4795,249,263
"SN_ASTC1r",250842,665165,425031,404125,43,25,25,4394,169,179
"SN_DLSO1.0_1l",1092264,171138,127519,122698,8,19,19,755,34,37
"SN_DLSO1.0_1r",1319657,188809,130641,119081,2,11,11,759,32,34
"SN_DLSO1.1_1l_NP_l",44863,227838,160731,152991,16,1,1,1300,58,62
"SN_DLSO1.1_1r_NP_r",780577,221590,166361,157812,15,2,2,1283,51,58
"SN_DLSO1.1_2l",1161044,105102,77862,73081,0,2,2,570,8,9
"SN_DLSO1.1_2r",1439840,114761,71550,62940,1,5,5,567,6,7
"SN_DLSO1.1_3l_116l",1161034,114396,78656,74323,1,1,1,672,9,10
"SN_DLSO1.1_3r_116r",1123072,171641,123493,114137,2,2,2,870,30,35
"SN_DLSO1.2_1l",523862,165710,125644,114018,5,1,1,895,38,40
"SN_DLSO1.2_1r",1327607,239219,185204,174794,10,0,0,1250,79,85
"SN_DLSO1.2_2l_DLSOl8",486036,238037,154855,143066,4,2,2,1412,40,43
"SN_DLSO1.2_2r_DLSOr9",541367,215498,138961,129638,2,3,3,1322,39,42
"SN_DLSO1.2_4lPDF-dcl2",508114,215743,156434,151996,5,4,4,1417,66,70
"SN_DLSO1.2_4rPDF-dcr3",1285696,275511,183707,172782,6,0,0,1595,65,69
"SN_DLSO1.2_5l_DLSOl10",454054,282672,188954,178492,3,2,2,1793,69,71
"SN_DLSO1.2_5r_DLSOr8",615803,233486,150938,141540,2,1,1,1287,42,44
"SN_DLSO1.2__DLSOr11",796862,241197,178146,171761,10,6,6,1472,61,65
"SN_DLSO1.3_1l",1472553,96112,78662,75671,6,3,3,544,18,20
"SN_DLSO1.3_1r",1294400,112666,85515,81686,2,1,1,619,22,24
"SN_DLSO1.3_2l",1163030,183990,130181,124255,0,12,11,847,28,30
"SN_DLSO1.3_2r",1294413,171243,113705,108673,0,11,11,859,26,27
"SN_DLSO1.3_3l",1402559,133942,91063,83908,3,2,2,701,22,23
"SN_DLSO1.3_3r",1327767,148340,100745,92561,3,0,0,892,22,24
"SN_DLSO1.3_4l_DLSOl11",1156418,340144,197935,183476,3,1,1,1938,69,74
"SN_DLSO1.3_PDF_4r",476224,241777,159626,153314,4,4,4,1371,52,53
"SN_DLSO1.3r 1316940",1316939,87411,68217,66306,3,1,1,491,10,11
"SN_DLSO1.4_1l",1155695,141183,96888,87987,4,2,2,660,30,31
"SN_DLSO1.4_1r",1315203,130920,95651,92662,1,1,1,729,25,27
"SN_DLSO2_1l",430600,176116,118128,103231,3,5,5,919,29,32
"SN_DLSO2_1r",1465584,199401,147397,129117,0,3,3,972,48,52
"SN_DLSO2_2l",1544524,119143,66640,60137,1,0,0,536,9,11
"SN_DLSO2_necklace-l",837128,236034,170459,159775,12,7,7,1343,49,51
"SN_DLSO2_necklace-r",1639584,241791,153787,140675,7,8,8,1073,32,36
"SN_DLSO2l",429993,275841,180271,160946,12,2,2,1378,53,59
"SN_DLSO2l 1639380",1785146,290060,193998,186916,2,2,2,1548,61,65
"SN_DLSO3_1r",672228,94732,77120,75834,4,5,5,525,16,17
"SN_DLSO3_3l",275699,191208,144696,136731,5,4,4,1225,53,55
"SN_DLSO3_3r",1160628,257963,205788,199292,13,12,12,1495,90,99
"SN_DLSO3_5l1",300466,149141,119395,115893,0,2,2,872,41,44
"SN_DLSO3_5l2",298685,160263,121400,117190,3,4,4,941,38,41
"SN_DLSO3_5r1",1159301,135148,108489,105679,2,6,6,923,29,32
"SN_DLSO3_5r2",1158821,115213,91727,88287,0,5,5,614,20,26
"SN_DLSO3_PDFl",1273155,319412,245502,237163,5,11,11,2113,104,111
"SN_DLSO3_PDFrPDF-dcr2",633874,374697,270999,258898,18,23,23,2729,93,96
"SN_DLSOl 1090654",1090653,194070,128354,119886,0,2,2,935,40,41
"SN_DLSOl1",482732,271640,170947,160179,4,4,4,1598,58,61
"SN_DLSOl2",1089948,267618,188456,176171,23,13,13,1704,73,78
"SN_DLSOl3",1411627,299549,204853,194855,8,7,7,1803,70,72
"SN_DLSOl4",1092863,198816,131247,124699,1,3,3,1098,32,35
"SN_DLSOl5",550345,210126,145186,138743,3,0,0,1163,50,52
"SN_DLSOl6",1156145,242614,175006,166864,7,8,8,1447,67,73
"SN_DLSOl8",1120455,271974,196903,185938,6,3,3,1670,78,81
"SN_DLSOr 1123965",1123964,179906,127521,123453,2,3,3,940,45,46
"SN_DLSOr 1315272",1315271,172277,121435,115223,1,3,3,1097,28,29
"SN_DLSOr 1317661",1317660,154722,100463,89734,0,2,2,795,16,18
"SN_DLSOr1",1319649,239520,161299,145000,5,4,4,1357,54,57
"SN_DLSOr10",431489,284387,205404,192124,4,1,1,2041,78,83
"SN_DLSOr2",399266,270617,187367,177870,14,19,19,1678,60,63
"SN_DLSOr3",1318423,206149,155306,150843,1,0,0,1518,56,59
"SN_DLSOr4",1328714,186221,141134,134459,1,0,0,1227,45,49
"SN_DLSOr5",612991,260237,162532,154495,6,1,1,1281,61,63
"SN_DLSOr6",399192,227561,142913,128680,6,9,9,1179,35,36
"SN_DLSOr7",399224,194559,127813,119138,2,1,1,1115,35,37
"SN_DSO1",1332516,234304,167815,157246,2,6,6,1496,38,44
"SN_DSO10",1130360,274802,187871,180385,8,28,27,1508,45,47
"SN_DSO11",1275880,110964,80080,74498,3,3,3,550,13,16
"SN_DSO12",1130583,69942,54446,46669,1,0,0,285,3,5
"SN_DSO13",1224072,113508,89176,84564,1,0,0,653,15,16
"SN_DSO15",1316070,74628,64094,62612,0,1,1,425,3,4
"SN_DSO17",1130041,106426,77788,68956,0,1,1,348,8,11
"SN_DSO6",1275865,146404,121954,120006,1,19,19,839,34,36
"SN_DSO7",1374369,152787,114403,108478,2,3,3,824,33,38
"SN_DSO8",1275907,148451,117789,113521,2,4,4,762,34,39
"SN_DSO9",1312181,109729,78694,72803,0,2,2,646,13,15
"SN_gland_sg2l",1952161,291592,163441,147019,1,16,16,2310,25,26
"SN_gland_sg3r",1442970,135837,105878,97213,8,6,6,1527,14,15
"SN_HSG3_1l",1784864,103215,78387,74990,1,0,0,863,26,29
"SN_HSG3_1r",1117148,97268,67752,63003,4,0,0,812,18,19
"SN_HSG3_4l",1317358,95051,68533,66820,1,0,0,851,17,19
"SN_HSG3_4r",1311712,97766,67891,64035,5,0,0,795,12,14
"SN_HSG3_6l",1456434,69935,50158,48531,1,0,0,743,18,19
"SN_HSG3_6r; sensory64;SN",1270523,83556,61479,58835,4,0,0,728,19,21
"SN_immature_pyg",1360967,97375,61279,55745,0,6,6,1069,8,9
"SN_IRP2-burs",81251,732547,505685,479467,1,14,14,4559,225,234
"SN_IRP2-FMRF",532764,538053,364279,343771,7,6,6,3384,166,178
"SN_l 1391603",1391602,150013,90028,80584,4,7,7,1258,14,16
"SN_LHSO2_1l",1282428,148085,119615,112963,3,2,2,874,41,45
"SN_LHSO2_1r",1411577,179279,143231,138304,13,1,1,1224,51,57
"SN_LHSO2_2l",1721342,130294,95348,89240,2,7,7,740,22,24
"SN_LHSO2_2r",1411593,114691,89652,87408,0,7,7,734,26,27
"SN_LHSO2_3l",1284780,143058,120055,116352,2,15,15,930,31,33
"SN_LHSO2_3r1",1331507,168170,124336,114140,0,2,2,1207,35,37
"SN_LHSO2_3r2",1332367,174186,143136,139628,1,10,10,1091,46,53
"SN_LHSO2golden_l",441817,216781,170467,156160,8,23,23,1194,62,66
"SN_LHSO2goldenrgolden_r",1377866,187865,136843,132384,3,19,19,1088,49,54
"SN_LSO_r; INintr2",346796,307893,198957,180978,13,13,13,1410,72,86
"SN_MIP1l",277200,421043,318041,306967,31,11,11,3123,135,141
"SN_MIP1r",493278,712608,481048,458303,11,5,5,4427,207,217
"SN_MIP4l",289898,389152,241494,230009,0,1,1,2273,105,111
"SN_MIP4r",316821,386375,250695,240687,1,2,2,2703,103,107
"SN_NS15l",485566,247249,178671,171082,2,10,10,1726,76,80
"SN_NS15r",1285367,162955,130556,126274,1,19,19,1158,61,65
"SN_NS16l",588869,263914,175291,168188,7,10,10,1846,76,80
"SN_NS16r",452180,294082,202613,195010,5,10,10,2030,67,71
"SN_NS17l",1281886,203130,166702,163577,2,8,8,1171,44,49
"SN_NS17r",1284704,271565,208731,202134,6,3,3,1720,74,78
"SN_NS18l",1156554,412430,248047,227959,4,2,2,2238,87,91
"SN_NS18r",629210,424417,284808,267419,1,8,8,2412,109,117
"SN_NS19l",248696,315583,229955,223247,43,1,1,2002,96,99
"SN_NS19r",273576,289788,213190,203754,29,2,2,1961,71,76
"SN_NS1l",423498,290702,209012,202486,3,4,4,1789,65,67
"SN_NS1r",1285768,383219,274807,263792,7,11,11,2392,115,120
"SN_NS20l",247535,260145,198944,192114,10,1,1,1774,90,97
"SN_NS20r",265148,304862,202380,186730,10,0,0,1976,78,80
"SN_NS22l",452157,288746,196633,186598,5,5,5,1950,77,80
"SN_NS22r",308269,323224,202030,191707,1,0,0,2122,74,79
"SN_NS27l",1419056,302877,219894,211044,0,4,4,1980,70,76
"SN_NS27r",1411715,293701,221989,215743,1,5,5,1851,81,86
"SN_NS29l",1292186,409399,265832,252391,2,4,4,2596,99,105
"SN_NS29r",486654,406503,277262,267294,0,7,7,2501,96,102
"SN_NS3r",290858,503252,337630,320420,2,14,14,3390,142,149
"SN_NS4",1419152,445904,322111,307935,6,9,9,2798,166,175
"SN_NS5l",537125,359531,260057,250177,6,12,12,2437,129,135
"SN_NS5r",318576,306346,235233,226279,7,11,11,1990,96,106
"SN_NS6",307194,229543,157073,149493,0,3,3,1740,76,78
"SN_sg0l",1372056,153535,91730,77296,6,0,0,812,11,14
"SN_sg0l 1732520",2015759,249527,130284,104746,2,4,4,1230,21,24
"SN_sg2l",1950241,198825,134024,129659,3,21,21,1610,26,27
"SN_sg3r 1370204",1370203,114966,91202,87208,7,25,25,1283,22,24
"SN_sg3r 1449611",1449610,290223,193834,187531,7,4,4,2659,57,58
"SN_WLD1l",300976,1043187,699598,659544,20,2,2,5922,307,324
"SN_WLD1r",442961,846432,559567,529057,24,1,1,4702,271,288
"SN_YF5cil",1418928,832365,560898,528772,22,14,14,5290,283,295
"SNaant_1l",77730,127510,91307,86267,0,1,1,872,22,27
"SNaant_1r",983759,138874,104726,99470,0,7,7,1005,30,31
"SNaant_2l; SN_38",488162,169164,126472,121805,1,3,3,1201,59,65
"SNaant_2r",984413,151102,119271,115171,4,7,7,1113,50,57
"SNaant_3l",77552,129680,102960,97720,3,9,9,1109,26,29
"SNaant_3r",982688,152744,119697,115342,4,25,25,1229,36,39
"SNadNS22_l",673344,158308,96478,87000,1,5,5,936,20,21
"SNadNS22_r",309165,213675,129792,120540,2,1,1,1184,39,42
"SNant 1273571",1273570,125840,87454,82296,1,8,8,986,18,20
"SNant 1324310",1324309,56784,44104,42043,1,0,0,608,5,6
"SNant 1327021",1327020,75723,54686,52790,1,1,1,752,12,14
"SNant 1328430",1328429,99555,63553,57858,0,8,8,920,11,12
"SNant 1329399",1329398,93932,63292,60811,0,4,4,857,20,21
"SNant 1329667",1329666,112244,72982,69837,0,3,3,951,12,14
"SNant 1331192",1331191,101522,70378,65386,0,1,1,998,15,17
"SNant_r 1281242",1281242,296161,154676,140781,2,9,9,1312,28,31
"SNant_r 1959493",1959492,107467,61715,59269,1,5,5,783,12,14
"SNantlerPDF_l",1300731,313872,221915,213433,4,52,52,1683,60,66
