"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"MNring_sg1r5",1364315,527800,299347,244810,5,31,31,2494,52,53
"MNring_sg1r6",932125,459660,253185,206473,4,13,13,2277,47,48
"MNring_sg1r7",557901,679725,321380,250400,10,10,10,1883,69,73
"MNring_sg2l 7",1824372,276407,210970,185977,1,3,3,1630,66,68
"MNring_sg2l1",1395647,348446,245410,237366,15,24,24,2167,65,71
"MNring_sg2l2",1249546,304150,184912,173723,5,10,10,1611,33,34
"MNring_sg2l3",1776476,372799,206124,173481,0,11,11,1274,31,32
"MNring_sg2l4",1461953,289907,198330,190646,13,8,8,1578,52,54
"MNring_sg2l5",1776504,294809,182067,170808,1,7,7,1261,51,55
"MNring_sg2r 8",1409372,246781,144929,132030,5,0,0,1185,29,32
"MNring_sg2r2",1460772,410604,228321,212503,11,28,28,1961,48,49
"MNring_sg2r3",1466424,308166,212370,203983,4,6,6,1717,58,63
"MNring_sg2r4",1486247,301892,193959,174651,15,13,13,1844,40,42
"MNring_sg2r5",1792917,270951,160282,136448,4,6,6,1045,19,23
"MNring_sg2r6",1486363,356958,200737,183083,10,12,12,1752,47,49
"MNring_sg2r7",1971650,183243,120635,107182,3,3,3,758,16,17
"MNring_sg3l1",579755,297970,218277,210771,13,17,17,2109,41,44
"MNring_sg3l2",1392970,400454,281052,267419,39,35,34,2583,73,78
"MNring_sg3l3",1396596,140665,117308,114922,2,2,2,1007,21,23
"MNring_sg3l4",1297975,218749,186435,181864,2,1,1,1559,51,52
"MNring_sg3r1",1026501,391797,296823,287958,36,55,53,2761,81,85
"MNring_sg3r2",1241266,269695,215256,209832,14,35,28,1943,44,46
"MNring_sg3r3",1244182,188445,140614,134656,4,1,1,1440,27,29
"MNsmile_sg1l1",1305492,292759,167912,155531,30,32,32,2131,46,50
"MNsmile_sg1l2",1420415,285904,134215,125147,8,10,10,1573,28,31
"MNsmile_sg1l3",1395980,212368,139400,134261,9,1,1,1834,37,39
"MNsmile_sg1l4",1391584,191513,135539,129620,8,23,23,1617,42,44
"MNsmile_sg1l6",1433397,356556,228644,215093,7,7,7,2241,49,50
"MNsmile_sg1l7",1549787,243356,128553,120265,5,21,21,1605,42,43
"MNsmile_sg1r1",1312505,363895,190780,177017,20,31,31,2013,45,46
"MNsmile_sg1r2",1396335,283063,170877,162126,6,11,11,1864,40,41
"MNspider-ant_sg2l1",1395556,725885,460483,388477,28,53,53,4774,81,83
"MNspider-ant_sg3l1",1383418,460943,342234,321058,17,17,17,3738,61,64
"MNspider-ant_sg3r1",1181940,469700,330585,318707,14,40,40,4366,87,90
"MNspider-post_sg2l2",1394905,482759,279846,250140,36,20,20,3077,79,82
"MNspider-post_sg2r2",1525257,652250,393376,368032,43,40,40,4371,125,128
"MNspider-post_sg3l2",1421839,262017,203714,189975,17,21,21,2401,61,64
"MNspider-post_sg3r2",1697854,313656,236523,227894,19,20,20,2786,81,82
"MNspider_sg3l3_immature",1447180,255335,194638,190485,4,9,9,2075,61,63
"MNspiderATO-ant_sg2r1",955074,1278872,700796,605977,54,99,99,7945,126,132
"MNspinning_sg2l",1333529,1058528,619669,575560,127,149,148,7535,171,175
"MNspinning_sg2r",1333311,1061620,668683,637419,142,144,144,8401,220,226
"MNVNC  1825923",1825922,264338,195540,181154,3,4,4,1790,46,47
"MNVNC 1295824",1295823,155651,85401,79287,2,6,6,735,25,27
"MNVNC 1385476",1421566,149352,106230,103501,3,17,17,1666,40,42
"MNVNC 1398638",1398637,133597,112688,109294,2,7,7,1195,29,31
"MNVNC 1407938",1407937,275450,193813,185860,3,11,11,2168,65,68
"MNVNC 1415267",1415266,170741,140282,137524,5,3,3,1565,51,57
"MNVNC 1421681",1421680,292943,222249,214293,2,12,12,1801,79,84
"MNVNC 1435325",1435324,133894,117484,115083,3,12,12,1027,42,46
"MNVNC 1435592",1435591,107251,91033,89434,6,4,4,935,39,42
"MNVNC 1436291",1436290,180392,118797,114139,3,1,1,1449,53,56
"MNVNC 1460906",1460905,48772,43228,42652,3,3,3,650,10,11
"MNVNC 1462146",1462145,240217,92233,85446,2,8,8,1043,23,24
"MNVNC 1468266",1468265,442271,335348,321769,4,24,24,4183,90,94
"MNVNC 1547425",1547424,283994,90449,71577,3,8,8,700,19,20
"MNVNC 1840972",1840971,132348,105187,100811,3,1,1,826,24,25
"MNVNC wave 1366840",1366839,285224,158218,140069,2,21,21,1380,23,24
"MNVNC_1A_sg2r",1345337,319456,181753,174781,10,17,17,1967,49,52
"MNVNC_chaetal_sg2r 2016554",2016553,115023,86898,82909,1,6,6,814,21,22
"MNVNC_ips_sg2r 1776778",1410290,336998,226719,209517,1,11,11,1454,42,43
"MNVNC_sg1 1296677",1296676,268231,153947,149671,1,16,16,2049,43,45
"MNVNC_sg1r 1783645",1783644,125529,64158,58502,1,1,1,360,5,9
"MNVNC_sg2l 1442397",1410390,120921,97400,94384,6,1,1,1074,18,19
"MNVNC_sg2l 1755081",1755080,241991,182204,173152,5,8,8,1897,49,50
"MNVNC_sg2l 1848250",1848249,104123,72679,69511,8,2,2,850,17,18
"MNVNC_sg2r",961644,194083,144333,139731,10,11,11,2086,57,62
"MNVNC_sg2r 1578508",1578507,93536,68567,66734,5,5,5,1093,19,22
"MNVNC_sg3 1441661",1441660,108348,91341,88957,0,6,6,820,32,35
"MNVNC_sg3l 10335809",1035809,174282,131673,126367,4,1,1,1239,39,42
"MNVNC_sg3l 1443617",1392926,284795,226168,219256,21,20,20,2455,78,84
"MNVNC_sg3r  1044290",1474100,107622,83953,81107,5,6,6,951,17,18
"MNVNC_sg3r 1343036",1343244,147875,108100,101854,4,9,9,1372,25,26
"MNVNC_sg3r 1729831",1729830,155889,125955,123032,14,13,13,1470,57,59
"MNVNCax_sg3l 1420303",1420302,169806,127725,123885,2,14,14,1283,49,52
"MNVNClong_sg2l 1957251",1957250,209637,98241,91185,2,3,3,829,28,32
"MNVNCob_sg2r 1971228",1971227,163793,109332,105392,10,27,27,1429,57,60
"MNVNCob_sg2r 1971477",2010309,194854,101716,96222,2,5,5,1140,29,32
"MNwave_sg2l1",1399394,259417,203176,191975,19,24,24,2325,38,41
"MNwave_sg2l2",1403656,309561,235917,206293,18,24,24,2871,45,50
"MNwave_sg2l3",1398649,271036,207076,176936,9,17,17,2544,29,30
"MNwave_sg3l1",1391234,268410,197212,182337,21,9,9,2073,47,49
"MNwave_sg3r1",954910,352928,266486,258090,26,48,48,3150,73,76
"MNwave_sg3r2",1752235,265741,203957,188155,15,11,10,2223,49,51
"Ser-h1l",113999,1396208,905788,842976,113,207,207,9171,270,281
"Ser-tr1l",1294986,2900455,1726939,1595724,55,265,265,18712,304,313
"Ser-tr1r",1274799,3605889,2177705,1896124,108,336,336,22149,376,387
